source_system,native_status_or_condition,current_normalized_status,proposed_stage_group,signed_ia_interpretation,notes
generic_normalizer,"null or unknown status with expected operation date in the past",complete,operational,unknown,"Date heuristic in normalizeQueueStatus() treats overdue unknowns as complete"
generic_normalizer,"null or unknown status without past expected operation date",active,active_study,unknown,"Default generic active state"
generic_normalizer,"status contains withdraw",withdrawn,withdrawn,false,"Current normalizer returns withdrawn"
generic_normalizer,"status contains cancel",cancelled,withdrawn,false,"Treat cancelled as a withdrawn-style terminal state for stage grouping"
generic_normalizer,"status contains operat, commercial, in service, or complete",complete,operational,true,"Terminal complete state"
caiso_public_queue,"sheetStatus = withdrawn",withdrawn,withdrawn,false,"Explicit worksheet override"
caiso_public_queue,"sheetStatus = complete or application status = completed",complete,operational,true,"Explicit worksheet override"
caiso_public_queue,"application status normalized by generic normalizer",active or specific normalized token,active_study,unknown,"Current live values are active, complete, and withdrawn"
ercot_gis_report,"approved for synchronization date present",complete,operational,true,"Strongest terminal completion signal in ERCOT feed"
ercot_gis_report,"approved for energization date present",energization_approved,construction,true,"Closer to construction or final commissioning than active study"
ercot_gis_report,"signed IA = true and no completion dates",ia_signed,committed,true,"Useful national committed-stage proxy"
ercot_gis_report,"study phase contains IA",ia_pending,permitting_or_approval,false,"IA work in progress"
ercot_gis_report,"study phase contains FIS",study,active_study,false,"Study-stage project"
iso_ne_public_queue,"status code W",withdrawn,withdrawn,false,"Explicit withdrawn code"
iso_ne_public_queue,"project status = In Service",complete,operational,true,"Explicit in-service signal"
iso_ne_public_queue,"all other public queue rows",active,active_study,unknown,"ISO-NE active queue default"
miso_gi_queue,"status contains withdraw",withdrawn,withdrawn,false,"Explicit withdrawn"
miso_gi_queue,"status contains done, service, or complete",complete,operational,true,"Terminal complete state"
miso_gi_queue,"status contains suspend",suspended,suspended_or_unknown,unknown,"Preserve suspended as non-terminal but not active"
miso_gi_queue,"status contains active",active,active_study,unknown,"Default active study state"
miso_gi_queue,"status = pending_transfer",pending_transfer,suspended_or_unknown,unknown,"Needs Ian review before using as committed supply"
nyiso_interconnection_queue,"withdrawn worksheet rows",withdrawn,withdrawn,false,"Sheet-level status override"
nyiso_interconnection_queue,"in-service worksheet rows",complete,operational,true,"Sheet-level status override"
nyiso_interconnection_queue,"interconnection or cluster worksheet rows",active,active_study,unknown,"Default active state from public workbook"
pjm_planning_queue,"status contains withdraw",withdrawn,withdrawn,false,"Current explicit normalizer"
pjm_planning_queue,"status contains suspend",suspended,suspended_or_unknown,unknown,"Keep suspended separate from active"
pjm_planning_queue,"status contains service or operation",complete,operational,true,"Operational or in-service path"
pjm_planning_queue,"status contains construct",under_construction,construction,true,"Construction state"
pjm_planning_queue,"status contains active",active,active_study,unknown,"Default active path"
pjm_planning_queue,"status = engineering_and_procurement",engineering_and_procurement,committed,true,"Engineering and procurement is beyond study but pre-construction"
pjm_planning_queue,"status = deactivated",deactivated,suspended_or_unknown,false,"Do not treat as active or operational"
pjm_planning_queue,"status = canceled",canceled,withdrawn,false,"Terminal canceled state"
spp_active_queue,"status = ERAS",eras,early_planning,false,"Early request or screening stage"
spp_active_queue,"status = DISIS Stage",disis_stage,active_study,false,"Definitive study stage"
spp_active_queue,"status = Facility Study Stage",facility_study_stage,active_study,false,"Later study stage but not committed"
spp_active_queue,"status = IA Pending",ia_pending,permitting_or_approval,false,"Waiting on IA execution"
spp_active_queue,"status = IA Fully Executed On Schedule",ia_fully_executed_on_schedule,committed,true,"Executed IA and on schedule"
spp_active_queue,"status = IA Fully Executed On Suspension",ia_fully_executed_on_suspension,suspended_or_unknown,true,"Executed IA but explicitly suspended"
spp_active_queue,"status resolved to complete",complete,operational,true,"Terminal complete state"
spp_active_queue,"status resolved to active",active,active_study,unknown,"Rare generic active state in SPP feed"
